category,supplier,parent_group,share_pct
Compressor_assemblies,NorthPeak_Thermal,NorthPeak_Group,52
Compressor_assemblies,BlueHarbor_Mechanical,BlueHarbor_Holdings,28
Compressor_assemblies,Apex_Compression,Apex_Industrial,20
Electronic_controls,VectorTherm,Vector_Group,38
Electronic_controls,Summit_Controls,Summit_Electronics,24
Electronic_controls,Cascade_Boards,Cascade_Technologies,18
Electronic_controls,Other_qualified_sources,Other_parent_groups,20
Fabricated_enclosures,Riverton_Metal,Riverton_Industries,24
Fabricated_enclosures,Coastal_Fabrication,Coastal_Group,21
Fabricated_enclosures,Other_qualified_sources,Other_parent_groups,55
Refrigerant_sensors,PrecisionSense,PrecisionSense_Group,100
Fasteners,Anchor_Fastening,Anchor_Group,19
Fasteners,Metro_Fasteners,Metro_Industrial,16
Fasteners,Other_qualified_sources,Other_parent_groups,65
Packaging,Evergreen_Packaging,Evergreen_Group,27
Packaging,BoxWorks,BoxWorks_Holdings,23
Packaging,Other_qualified_sources,Other_parent_groups,50
